,X,Y
1,180,90
2,180,250
3,357,250
4,600,250
5,600,90
6,775,90
7,775,250
8,1018,250
9,1531,250
10,2098,250
11,2274,250
12,2355,90
13,2557,90
14,2760,90
15,2667,250
16,2962,250
17,380,497
18,570,497
19,775,497
20,937,497
21,1221,497
22,1504,497
23,2287,497
24,2517,497
25,2800,497
26,3003,497
27,380,782
28,570,782
29,775,782
30,937,782
31,1221,782
32,1504,782
33,2287,782
34,2517,782
35,2800,782
36,3003,782
37,180,1100
38,380,1066
39,570,1066
40,775,1066
41,937,1066
42,1221,1066
43,1504,1066
44,2287,1066
45,2517,1066
46,2800,1066
47,3003,1066
48,180,1387
49,362,1387
50,620,1387
51,775,1387
52,937,1387
53,1221,1387
54,1385,1387
55,1504,1387
56,1707,1173
57,1923,1173
58,1707,1480
59,1923,1480
60,2071,1387
61,2179,1173
62,2179,1440
63,2287,1387
64,2517,1387
65,2800,1387
66,3003,1387
67,180,1581
68,380,1581
69,620,1581
70,775,1581
71,937,1581
72,1221,1581
73,1534,1581
74,2095,1581
75,2287,1581
76,2517,1581
77,2800,1581
78,3003,1581
79,180,1867
80,380,1867
81,620,1867
82,775,1867
83,937,1867
84,1221,1867
85,1504,1867
86,1657,1807
87,1748,1807
88,1889,1807
89,1990,1807
90,2065,1867
91,2287,1867
92,180,2099
93,380,2099
94,620,2099
95,775,2099
96,937,2099
97,1221,2099
98,1504,2099
99,1869,2099
100,2065,2099
101,2287,2099
102,1869,1066
103,1707,90
104,1923,90
